CountryName,TotalPop,pop_over_65,HosRate,mortality
Mauritius,1270000,11.47417307,0.111400538,0.037133513
Mexico,128933000,7.223684981,0.070133367,0.023377789
Moldova,3525000,11.46955634,0.111355715,0.037118572
Monaco,39000,,0,0
Mongolia,3278000,4.083538787,0.039646292,0.013215431
Montenegro,622000,14.97493664,0.145388778,0.048462926
Morocco,36911000,7.012904821,0.068086943,0.022695648
Mozambique,31255000,2.890764457,0.028065876,0.009355292
Namibia,2541000,3.636031681,0.035301532,0.011767177
Nepal,29137000,5.727670776,0.055608853,0.018536284
Netherlands,17330000,19.19619263,0.18637214,0.062124047
New Zealand,4971000,15.65242453,0.151966377,0.050655459
Nicaragua,6625000,5.247497448,0.050946943,0.016982314
Niger,24207000,2.595007883,0.025194432,0.008398144
Nigeria,206140000,2.747377005,0.026673755,0.008891252
North Macedonia,2083000,13.67018138,0.13272116,0.044240387
Norway,5422000,17.04922216,0.165527617,0.055175872
Oman,5107000,2.392786956,0.023231108,0.007743703
Pakistan,220892000,4.312774311,0.041871896,0.013957299
Panama,4315000,8.10473108,0.078687274,0.026229091
Papua New Guinea,8947000,3.445269251,0.033449456,0.011149819
Paraguay,7133000,6.430215009,0.06242972,0.020809907
Peru,32972000,8.088392792,0.078528649,0.026176216
Philippines,109581000,5.122568768,0.049734034,0.016578011
Poland,37806000,17.51781676,0.170077111,0.05669237
Portugal,10195000,21.95385754,0.213145778,0.071048593
Qatar,2881000,1.370070339,0.013301749,0.004433916
Romania,19247000,18.33870139,0.178046922,0.059348974
Russia,144222000,14.67470832,0.142473919,0.047491306
Rwanda,12952000,2.938196078,0.02852638,0.009508793
San Marino,34000,,0,0
Sao Tome and Principe,219000,2.925678109,0.028404846,0.009468282
Saudi Arabia,34814000,3.314088023,0.032175843,0.010725281
Senegal,16744000,3.086823701,0.029969377,0.009989792
Serbia,6929000,18.34579269,0.17811577,0.059371923
Seychelles,98000,7.594545604,0.073733982,0.024577994
Sierra Leone,7977000,2.966556211,0.028801723,0.009600574
Singapore,5772000,11.46338019,0.111295752,0.037098584
