CountryName,TotalPop,pop_over_65,0to64,65to79,over80,beta1_mid,beta2_mid,gamma1_mid,gamma2_mid,gamma3_mid,hosp_rate_mid,sympt_rate_mid,delta_mid,beta1_min,beta2_min,gamma1_min,gamma2_min,gamma3_min,hosp_rate_min,sympt_rate_min,delta_min,beta1_max,beta2_max,gamma1_max,gamma2_max,gamma3_max,hosp_rate_max,sympt_rate_max,delta_max
San Marino,34000,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,219000,2.925678109,97.07432189,2.574329061,0.351349048,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,34814000,3.314088023,96.68591198,2.920353543,0.39373448,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,16744000,3.086823701,96.9131763,2.768971112,0.317852589,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,6929000,18.34579269,81.65420731,15.20308002,3.142712667,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,98000,7.594545604,92.4054544,6.581567448,1.012978156,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,7977000,2.966556211,97.03344379,2.690362273,0.276193938,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,5772000,11.46338019,88.53661981,9.88754941,1.57583078,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,5448000,15.6292465,84.3707535,13.56542884,2.063817656,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2067000,19.60687965,80.39312035,16.11227758,3.494602074,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,15893000,2.873310943,97.12668906,2.587986016,0.285324927,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,59309000,5.318005005,94.681995,4.854132155,0.46387285,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,11194000,3.39848288,96.60151712,3.010135168,0.388347712,,,,,,,,,,,,,,,,,,,,,,,,
Spain,46711000,19.37850752,80.62149248,14.70103875,4.677468767,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,21837000,10.47321975,89.52678025,9.17876104,1.29445871,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,43849000,3.581160528,96.41883947,3.14276085,0.438399678,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,587000,6.906369902,93.0936301,5.898507957,1.007861945,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,10319000,20.09552493,79.90447507,16.01277726,4.082747672,,,,,,,,,,,,,,,,,,,,,,,,
